Year,18-24 Voted,18-24 Registered,25-44 Voted,25-44 Registered,45-64 Voted,45-64 Registered,65 and over Voted,65 and over Registered,Total Voted,Total Registered
1980,?,?,?,?,?,?,?,?,?,?
1982,7139000,12227000,30343000,41103000,27491000,33422000,15336000,19245000,80309000,105997000
1984,?,?,?,?,?,?,?,?,?,?
1986,5782000,11109000,31003000,45790000,26305000,33528000,16865000,21300000,79955000,111727000
1988,9254000,12321000,42018000,49066000,31134000,34622000,19818000,22580000,102224000,118589000
1990,5072000,9896000,32766000,47020000,26138000,33480000,18014000,22853000,81990000,113249000
1992,10442000,12787000,47388000,52725000,34399000,37016000,21637000,24049000,113866000,126577000
1994,5050000,10659000,32689000,48023000,28878000,36541000,19086000,23771000,85703000,118994000
1996,7996000,12018000,41051000,51606000,34615000,39490000,21356000,24547000,105018000,127661000
1998,4251000,10014000,28889000,47902000,30758000,40861000,19200000,24326000,83098000,123103000
2000,?,?,?,?,?,?,?,?,?,?
2002,4697000,10470000,28019000,45553000,35521000,46430000,20667000,25701000,88904000,128154000
2004,11639000,14334000,42845000,49370000,47327000,51660000,23925000,26706000,125736000,142070000
2006,5524000,11554000,28216000,45099000,40725000,52171000,21654000,27023000,96119000,135847000
2008,12515000,15082000,42366000,48184000,50744000,54944000,25519000,28100000,131144000,146310000
2010,5682000,12095000,26122000,43414000,41248000,53499000,22935000,28255000,95987000,137263000
2012,11353000,14766000,39942000,47896000,52013000,57795000,29641000,32700000,132949000,153157000
2014,4721000,11610000,23209000,43187000,38111000,54107000,26210000,33261000,92251000,142165000
